,ID,K_bin0_Expression_1,K_bin0_Expression_2,K_bin0_binding_1,K_bin0_binding_2,K_bin1_Expression_1,K_bin1_Expression_2,K_bin1_binding_1,K_bin1_binding_2,K_input_Binding_1,K_input_Binding_2,K_input_Expression_1,K_input_Expression_2,concentration
238,MK901106.1,,,,6.0,,,,3.0,,,,1.0,A
239,KF688141.1,,,,7.0,,,,14.0,2.0,2.0,,1.0,A
240,MN288032.1,,,,9.0,,,,11.0,4.0,6.0,6.0,2.0,A
241,030_09_1A06,33.0,,15.0,41.0,102.0,72.0,1.0,129.0,175.0,143.0,229.0,227.0,A
242,MW587504.1,,,,2.0,,,,11.0,5.0,6.0,,2.0,A
243,HM773972.1,,,,5.0,,,,10.0,,,,1.0,A
244,MG524325.1,,,,26.0,,,,31.0,113.0,105.0,75.0,86.0,A
245,20A-609-30_1F11,,,,8.0,,,,16.0,3.0,4.0,3.0,3.0,A
246,MN445701.1,,,,5.0,,,,8.0,2.0,2.0,1.0,,A
247,CR9114_D13H,,,,10.0,1.0,,,17.0,103.0,80.0,75.0,49.0,A
248,AY866570.1,,,,5.0,,,,6.0,2.0,3.0,,4.0,A
249,CR9114_Y7P,,,,3.0,,,,6.0,1.0,,,,A
250,MW654662.1,,,,1.0,,,,2.0,,,1.0,1.0,A
251,310-18C2,,,,3.0,,,,7.0,1.0,,1.0,3.0,A
252,Z47244.1,,,,6.0,,,,11.0,17.0,9.0,9.0,6.0,A
253,315-21-08_1C07,,,,10.0,,,,9.0,2.0,4.0,1.0,5.0,A
254,KT304466.1,,,,,,,,6.0,,,,,A
255,MW655385.1,,,,4.0,,,,5.0,3.0,6.0,3.0,3.0,A
256,231A10H7,240.0,59.0,464.0,242.0,782.0,1690.0,1.0,66.0,2225.0,2877.0,3108.0,2645.0,A
257,JN111072.1,,,,3.0,,,,5.0,,,,1.0,A
258,MT151493.1,,,,11.0,,,,15.0,213.0,176.0,136.0,143.0,A
259,AJ306680.1,,,,9.0,,,,12.0,2.0,3.0,2.0,1.0,A
260,MN281526.1,,,,4.0,,,,3.0,,,,1.0,A
261,MW655166.1,,,,3.0,,,,2.0,,,,,A
262,MW176468.1,,,,2.0,,,,7.0,96.0,108.0,66.0,58.0,A
263,310-18C12,,,,7.0,,,,8.0,1.0,1.0,2.0,,A
264,MN283168.1,,,,7.0,,,,14.0,4.0,,3.0,3.0,A
265,MT565774.1,,,,9.0,,,,12.0,3.0,5.0,4.0,5.0,A
266,20A-620-30_1B10,,,,8.0,,,,5.0,,,2.0,,A
267,MN285036.1,,,,10.0,,,,6.0,,2.0,,,A
268,MN288057.1,,,,5.0,,,,7.0,7.0,2.0,3.0,3.0,A
